;account_id;match_id;team_id;role;datetime;win;win_prob;prediction;isCorrect
0;82327674;3372726385;1375614.0;1.0;13.08.2017 03:12:57;False;0.46697953743703247;False;True
6;82327674;3362390555;1375614.0;1.0;08.08.2017 01:14:35;True;0.5316030145076954;True;True
7;82327674;3358205135;1375614.0;1.0;05.08.2017 23:50:33;True;0.8717144504527852;True;True
8;82327674;3358105051;1375614.0;1.0;05.08.2017 22:26:41;True;0.8907846108740418;True;True
15;82327674;3356148145;1375614.0;1.0;05.08.2017 01:39:36;True;0.8101259802976462;True;True
23;82327674;3354120039;1375614.0;1.0;04.08.2017 00:21:27;True;0.967373756007845;True;True
32;82327674;3352200165;1375614.0;1.0;02.08.2017 22:32:24;False;0.7158214519059091;True;False
33;82327674;3352140562;1375614.0;1.0;02.08.2017 21:37:52;True;0.8981945472457502;True;True
94;19672354;3358183864;2586976.0;1.0;05.08.2017 23:30:32;False;0.005654160471781707;False;True
97;19672354;3357781916;2586976.0;1.0;05.08.2017 19:00:22;False;0.07679425919648189;False;True
107;19672354;3354118306;2586976.0;1.0;04.08.2017 00:19:03;True;0.8864378159721809;True;True
111;19672354;3352405556;2586976.0;1.0;03.08.2017 02:37:30;True;0.9902092987698331;True;True
364;72312627;3372455628;2163.0;1.0;12.08.2017 22:53:26;True;0.9113373973938925;True;True
365;72312627;3372386596;2163.0;1.0;12.08.2017 21:59:04;True;0.9975740629035247;True;True
367;72312627;3368300783;2163.0;1.0;11.08.2017 04:44:30;True;0.9454673088223507;True;True
368;132851371;3368158118;1883502.0;1.0;11.08.2017 01:32:37;False;0.9982893973512535;True;False
379;180012313;3355938154;2581813.0;1.0;04.08.2017 22:20:17;False;0.379907229509637;False;True
383;86745912;3352462460;39.0;1.0;03.08.2017 03:54:42;False;0.4015093240185077;False;True
384;194521913;3352455755;NaN;1.0;03.08.2017 03:44:26;False;0.8449855428987288;True;False
385;132851371;3352383050;1883502.0;1.0;03.08.2017 01:59:51;True;0.9982939505772306;True;True
386;180012313;3352323980;2581813.0;1.0;03.08.2017 00:38:48;True;0.9916506346800541;True;True
396;315657960;3280569987;NaN;1.0;29.06.2017 07:57:17;False;0.7474696954645169;True;False
397;315657960;3280349437;NaN;1.0;29.06.2017 04:28:05;True;0.9936958573048653;True;True
412;315657960;3278794972;NaN;1.0;28.06.2017 10:45:20;True;0.9999064966404136;True;True
413;126417273;3278536469;2880140.0;1.0;28.06.2017 07:20:58;True;0.9996990962299935;True;True
